Description	Code	CTD	Inflation	Adj CTD	Tot Parts CTD	Parts Sell	Total Lab	Labour CTD	Labour Ret	Sundry 1	Sublet	Act CTD	MU	GP	Act Sell	Rebate	Image Link
Garmin GPSMap 8412XSV w Panoptix Livescope LVS12 TDucer & Garmin Navionics Vision+ Chart	GAR-8412XSV-KIT04	5464.492	0	0	5464.492	6407	3.55	461.8227272727271	564.4499999999999	15	0	5941.314727272727	0.0700111034499832	415.9579999999996	6993		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8412-1.jpeg
Garmin GPSMap 8412XSV w GT51 TM (600w) TDucer, TDucer Cover & Navionics Vision+ Chart	GAR-8412XSV-KIT05	5625.5	0	0	5625.5	6526	3.8	494.3454545454544	604.1999999999999	17.5	0	6137.345454545454	0.05983042713165891	367.1999999999998	7155		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8412-1.jpeg
Garmin GPSMap 8412XSV w GT51 TM (600w) TDucer, Ext Ant, NMEA Starter Kit & Navionics Vision+ Chart	GAR-8412XSV-KIT06	6142.096	0	0	6142.096	7114	6.3	819.5727272727271	1001.7	32.5	0	6994.168727272728	0.06075377909618611	424.9221818181804	8161		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8412-1.jpeg
Garmin GPSMap 8412XSV w GT51 TDucer, Reactor Auto Pilot, GMR24 Radar, Ext Ant, NMEA Starter Kit & Navionics Vision+ Chart	GAR-8412XSV-KIT07	14519.701	0	0	14519.701	17352	17.8	2315.618181818181	2830.2	90	0	16925.31918181818	0.09067367071165382	1534.68081818182	20306		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8412-1.jpeg
Garmin GPSMap 8412XSV w Airmar (1kw) TDucer & Custom Bracket, Ext Ant, NMEA Starter Kit & Navionics Vision+ Chart	GAR-8412XSV-KIT08	7376.093000000001	0	0	7376.093000000001	8555	12.55	1632.640909090909	1995.45	40	0	9048.73390909091	0.0655433432661139	593.0842727272702	10606		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8412-1.jpeg
Garmin GPSMap 8412XSV w Airmar 1kW (350m) TM185 TDucer, Ext Ant, NMEA Starter Kit & Navionics Vision+ Chart	GAR-8412XSV-KIT09	6541.093	0	0	6541.093	7555	6.55	852.0954545454543	1041.45	35	0	7428.188454545454	0.05800909026234739	430.902454545454	8645		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8412-1.jpeg
Garmin GPSMap 8412XSV w Airmar 1kW (500m) TM275 LHW TDucer, Ext Ant, NMEA Starter Kit & Navionics Vision+ Chart	GAR-8412XSV-KIT10	7661.093	0	0	7661.093	8815	6.05	787.0499999999998	961.9499999999999	30	0	8478.143	0.05286778441501117	448.220636363636	9819		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8412-1.jpeg
Garmin GPSMap 8412XSV & GPSMap 953xsv + Wireless Remote, GT56 TDucer, Ext Aerial, Panoptix Live Scope TDucer & Navionics Vision+ Chart	GAR-8412XSV-KIT11	8535.588	0	0	8535.588	10221	9.9	1287.9	1574.1	48.5	0	9871.988	0.09234698863454482	911.6483636363628	11862		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2023/08/Garmin-GPSMAP-8412-1.jpeg
Garmin GPSMap 8416XSV w GT56 UHD TDucer, Ext Ant, NMEA Starter Kit & Garmin Navionics Vision+ Chart	GAR-8416XSV-KIT01	7546.087	0	0	7546.087	8745	6.05	787.0499999999998	961.9499999999999	30	0	8363.137	0.05973718626482759	499.5902727272714	9749		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2020/05/8416-768x583.jpg
Garmin GPSMap 8416XSV w GT56 UHD TDucer, Ext Ant, NMEA Starter Kit, Yamaha Bus Cable & Garmin Navionics Vision+ Chart	GAR-8416XSV-KIT02	7580.387000000001	0	0	7580.387000000001	8784	6.3	819.5727272727271	1001.7	32.5	0	8432.459727272728	0.05986545045300414	504.8129999999983	9831		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2020/05/8416-768x583.jpg
Garmin GPSMap 8416XSV w GT51 TM (600w) TDucer, TDucer Cover & Navionics Vision+ Chart	GAR-8416XSV-KIT03	7225.494	0	0	7225.494	8386	3.8	494.3454545454544	604.1999999999999	17.5	0	7737.339454545454	0.05920834850278688	458.1150909090902	9015		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2020/05/8416-768x583.jpg
Garmin GPSMap 8416XSV w GT51 TM (600w) TDucer, Ext Ant, NMEA Starter Kit & Navionics Vision+ Chart	GAR-8416XSV-KIT04	7742.09	0	0	7742.09	8974	6.3	819.5727272727271	1001.7	32.5	0	8594.162727272727	0.0600218181918192	515.8372727272726	10021		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2020/05/8416-768x583.jpg
Garmin GPSMap 8416XSV w GT51 TDucer, Reactor Auto Pilot, GMR24 Radar, Ext Ant, NMEA Starter Kit & Navionics Vision+ Chart	GAR-8416XSV-KIT05	16119.695	0	0	16119.695	19212	17.8	2315.618181818181	2830.2	90	0	18525.31318181818	0.08774998258525311	1625.595909090905	22166		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2020/05/8416-768x583.jpg
Garmin GPSMap 8416XSV w GT51 & TM265LH TDucers, Spray Cover, Ext Ant, NMEA Starter Kit & Navionics Vision+ Chart	GAR-8416XSV-KIT06	9499.39	0	0	9499.39	10963	13.3	1730.209090909091	2114.7	42.5	0	11272.09909090909	0.05949452505780763	670.6281818181815	13137		https://www.northsidemarine.com.au/online-store/wp-content/uploads/sites/9/2020/05/8416-768x583.jpg
